,Player,season17_18
1,Stephen Curry,34682550
2,LeBron James,33285709
3,Paul Millsap,31269231
4,Gordon Hayward,29727900
5,Blake Griffin,29512900
6,Kyle Lowry,28703704
7,Russell Westbrook,28530608
8,Mike Conley,28530608
9,James Harden,28299399
10,DeMar DeRozan,27739975
11,Al Horford,27734405
12,Carmelo Anthony,26243760
13,Damian Lillard,26153057
14,Jrue Holiday,25686667
15,Chris Bosh,25289390
16,Kevin Durant,2.50E+07
17,Otto Porter,24773250
18,Chris Paul,24599495
19,C.J. McCollum,23962573
20,Bradley Beal,23775506
21,Anthony Davis,23775506
22,Andre Drummond,23775506
23,Hassan Whiteside,23775506
24,Dwight Howard,23500000
25,Chandler Parsons,23112004
26,Harrison Barnes,23112004
27,J.J. Redick,2.30E+07
28,Marc Gasol,22642350
29,Kevin Love,22642350
30,Brook Lopez,22642350
31,DeAndre Jordan,22642350
32,Steven Adams,22471910
33,Giannis Antetokounmpo,22471910
34,Nicolas Batum,22434783
35,Rudy Gobert,21974719
36,LaMarcus Aldridge,21461010
37,Victor Oladipo,2.10E+07
38,Enes Kanter,20566802
39,Danilo Gallinari,20559599
40,Serge Ibaka,20061729
41,George Hill,2.00E+07
42,Ryan Anderson,19578455
43,Paul George,19508958
44,Allen Crabbe,19332500
45,Jimmy Butler,19301070
46,Jeff Teague,1.90E+07
47,Kawhi Leonard,18868625
48,Kyrie Irving,18868625
49,John Wall,18063850
50,DeMarcus Cousins,18063850
51,Greg Monroe,17884176
52,Wesley Matthews,17884176
53,Klay Thompson,17826150
54,Joakim Noah,17765000
55,Kentavious Caldwell-Pope,17745894
56,Luol Deng,17190000
57,Evan Turner,17131148
58,Goran Dragic,17000450
59,Evan Fournier,1.70E+07
60,Bismack Biyombo,1.70E+07
61,Kent Bazemore,16910113
62,Robert Covington,16698103
63,Ian Mahinmi,16661641
64,Tim Hardaway,16500000
65,Draymond Green,16400000
66,Tristan Thompson,16400000
67,Reggie Jackson,1.60E+07
68,Pau Gasol,1.60E+07
69,Tobias Harris,1.60E+07
70,Dwyane Wade,15550000
71,Dennis Schroder,15500000
72,Jonas Valanciunas,15460675
73,Tony Parker,15453126
74,Timofey Mozgov,15280000
75,Andre Iguodala,14814815
76,DeMarre Carroll,14800000
77,Thaddeus Young,14796348
78,Eric Bledsoe,14500000
79,Ricky Rubio,14275000
80,Joe Ingles,14136364
81,Gorgui Dieng,14112360
82,Khris Middleton,14100000
83,Mason Plumlee,14041096
84,Taj Gibson,1.40E+07
85,James Johnson,13954000
86,Robin Lopez,13788500
87,J.R. Smith,13760000
88,Brandon Knight,13618750
89,Marvin Williams,13168750
90,Tyson Chandler,1.30E+07
91,Michael Kidd-Gilchrist,1.30E+07
92,Eric Gordon,12943020
93,Kenneth Faried,12921348
94,Marcin Gortat,12782609
95,Cody Zeller,12584270
96,Miles Plumlee,12500000
97,Nikola Mirotic,12500000
98,Zach Randolph,12307692
99,Nikola Vucevic,12250000
100,Solomon Hill,12236535
101,Wilson Chandler,12016854
102,Jeremy Lin,1.20E+07
103,Kemba Walker,1.20E+07
104,Derrick Favors,1.20E+07
105,Austin Rivers,11825000
106,Courtney Lee,11747890
107,Nikola Pekovic,11600000
108,Jordan Clarkson,11562500
109,John Henson,11422536
110,Dion Waiters,1.10E+07
111,Amir Johnson,1.10E+07
112,Jamal Crawford,10942762
113,Alec Burks,10845506
114,Patty Mills,10714286
115,Kelly Olynyk,10607169
116,Omer Asik,10595505
117,Terrence Ross,10500000
118,Mirza Teletovic,10500000
119,Bojan Bogdanovic,10500000
120,Jon Leuer,10497319
121,Iman Shumpert,10337079
122,Maurice Harkless,10162922
123,Jared Dudley,1.00E+07
124,Darren Collison,1.00E+07
125,Danny Green,1.00E+07
126,Meyers Leonard,9904495
127,Tony Snell,9821429
128,Al Jefferson,9769821
129,Matthew Dellavedova,9607500
130,Joe Johnson,9505000
131,Bogdan Bogdanovic,9470614
132,Andre Roberson,9259259
133,Trevor Booker,9125000
134,Dwight Powell,9003125
135,Jerryd Bayless,9.00E+06
136,Avery Bradley,8808989
137,JaMychal Green,8533333
138,E'Twaun Moore,8445024
139,Rudy Gay,8406000
140,Kosta Koufos,8393000
141,Markieff Morris,8.00E+06
142,Garrett Temple,8.00E+06
143,Vince Carter,8.00E+06
144,C.J. Miles,7936509
145,Cristiano Felicio,7843500
146,Shaun Livingston,7692308
147,Cory Joseph,7630000
148,P.J. Tucker,7590035
149,Corey Brewer,7579366
150,Andrew Wiggins,7574322
151,Darrell Arthur,7464912
152,Channing Frye,7420912
153,Trevor Ariza,7420912
154,Al-Farouq Aminu,7319035
155,Cole Aldrich,7300000
156,D.J. Augustin,7250000
157,Markelle Fultz,7026240
158,Lou Williams,7.00E+06
159,Kyle Korver,7.00E+06
160,Jeremy Lamb,7.00E+06
161,Boban Marjanovic,7.00E+06
162,Jae Crowder,6796117
163,Jabari Parker,6782392
164,Langston Galloway,6666667
165,Lance Thomas,6655325
166,Ed Davis,6352531
167,Marco Belinelli,6306060
168,Jonathon Simmons,6300000
169,Lonzo Ball,6286560
170,Wayne Ellington,6270000
171,Isaiah Thomas,6261395
172,Karl-Anthony Towns,6216840
173,Ben Simmons,6168840
174,Joel Embiid,6100266
175,Spencer Hawes,6021175
176,Josh McRoberts,6021175
177,Ish Smith,6.00E+06
178,Alan Williams,6.00E+06
179,Shelvin Mack,6.00E+06
180,Milos Teodosic,6.00E+06
181,Ersan Ilyasova,6.00E+06
182,Dewayne Dedmon,6.00E+06
183,Tyler Johnson,5881260
184,Wesley Johnson,5881260
185,Alex Abrines,5725000
186,Jayson Tatum,5645400
187,D'Angelo Russell,5562360
188,Brandon Ingram,5519400
189,Patrick Beverley,5513514
190,Aaron Gordon,5504420
191,Deron Williams,5500000
192,Josh Smith,5400000
193,Thabo Sefolosha,5250000
194,Jason Smith,5225000
195,Ben McLemore,5200000
196,Patrick Patterson,5192000
197,Nick Young,5192000
198,Brandan Wright,5179760
199,Josh Jackson,5090040
200,Marcus Morris,5.00E+06
201,Dirk Nowitzki,5.00E+06
202,Greg Monroe,5.00E+06
203,Mike Muscala,5.00E+06
204,Jahlil Okafor,4995120
205,Dante Exum,4992385
206,Alexis Ajinca,4961798
207,Jaylen Brown,4956480
208,Jameer Nelson,4736050
209,Kyle Singler,4666500
210,Justin Holiday,4615385
211,De'Aaron Fox,4609200
212,Marcus Smart,4538020
213,Kristaps Porzingis,4503600
214,Dragan Bender,4468800
215,Devin Harris,4402546
216,Ron Baker,4328000
217,Jamal Crawford,4328000
218,Aron Baynes,4328000
219,Alex Len,4187599
220,Nerlens Noel,4187599
221,Jonathan Isaac,4186320
222,Lance Stephenson,4180000
223,Julius Randle,4149242
224,Kyle O'Quinn,4087500
225,Mario Hezonja,4078320
226,Kris Dunn,4046760
227,Jonas Jerebko,4.00E+06
228,Nemanja Bjelica,3949999
229,J.J. Barea,3903900
230,Quincy Pondexter,3853931
231,Lauri Markkanen,3821640
232,Nik Stauskas,3807146
233,Willie Cauley-Stein,3704160
234,Buddy Hield,3675480
235,Will Barton,3533333
236,Noah Vonleh,3505233
237,Frank Ntilikina,3501120
238,Nene Hilario,3477600
239,Zaza Pachulia,3477600
240,Troy Daniels,3408520
241,Emmanuel Mudiay,3381480
242,Jamal Murray,3355320
243,Elfrid Payton,3332340
244,Rajon Rondo,3300000
245,Doug McDermott,3294994
246,Jodie Meeks,3290000
247,Tyreke Evans,3290000
248,Tarik Black,3290000
249,Anthony Tolliver,3290000
250,Dennis Smith,3218280
251,Zach LaVine,3202217
252,Ekpe Udoh,3200000
253,T.J. Warren,3152931
254,Stanley Johnson,3097800
255,Marquese Chriss,3073800
256,Zach Collins,3057240
257,James Ennis,3028410
258,Seth Curry,3028410
259,Mindaugas Kuzminskas,3025035
260,Tomas Satoransky,3.00E+06
261,Rajon Rondo,3.00E+06
262,Lucas Nogueira,2947305
263,Jusuf Nurkic,2947305
264,Malik Monk,2904480
265,Frank Kaminsky,2847600
266,Andrew Nicholson,2844429
267,Jakob Poeltl,2825640
268,Luke Kennard,2759280
269,Justise Winslow,2705040
270,Michael Carter-Williams,2700000
271,Thon Maker,2684160
272,Cedi Osman,2642857
273,Donovan Mitchell,2621280
274,Myles Turner,2569920
275,Gary Harris,2550055
276,Domantas Sabonis,2550000
277,Manu Ginobili,2500000
278,Reggie Bullock,2500000
279,Richard Jefferson,2500000
280,Malcolm Delaney,2500000
281,Bam Adebayo,2490360
282,Bruno Caboclo,2451225
283,Ronnie Price,2442455
284,Trey Lyles,2441400
285,Dario Saric,2422560
286,Taurean Waller-Prince,2422560
287,Rodney Hood,2386864
288,Justin Jackson,2365560
289,Shabazz Napier,2361360
290,Clint Capela,2334520
291,Arron Afflalo,2328652
292,Raymond Felton,2328652
293,Nick Collison,2328652
294,Ramon Sessions,2328652
295,Jarrett Jack,2328652
296,Jason Terry,2328652
297,Udonis Haslem,2328652
298,Dwyane Wade,2328652
299,David West,2328652
300,Richard Jefferson,2328652
301,Jose Calderon,2328652
302,Andrew Bogut,2328652
303,Devin Booker,2319360
304,Georgios Papagiannis,2301360
305,Dante Cunningham,2300000
306,Jameer Nelson,2262871
307,Justin Patton,2247480
308,Guerschon Yabusele,2247480
309,Monta Ellis,2245400
310,Cameron Payne,2203440
311,Denzel Valentine,2186400
312,Josh Smith,2183934
313,Kyle Anderson,2151704
314,D.J. Wilson,2135040
315,Matt Barnes,2133542
316,Derrick Rose,2116955
317,Marreese Speights,2116955
318,Michael Beasley,2116955
319,Aaron Brooks,2116955
320,Luc Mbah a Moute,2116955
321,JaVale McGee,2116955
322,Jeff Green,2116955
323,Tony Allen,2116955
324,Damien Wilkins,2116955
325,Omri Casspi,2106470
326,Mario Chalmers,2106407
327,Darius Miller,2100000
328,Kelly Oubre,2093040
329,Juan Hernangomez,2076840
330,T.J. Leaf,2028360
331,Tim Frazier,2.00E+06
332,Anthony Tolliver,2.00E+06
333,Terry Rozier,1988520
334,Luke Babbitt,1974159
335,John Collins,1936920
336,Anderson Varejao,1913345
337,Rashad Vaughn,1889040
338,Tim Duncan,1881250
339,Wade Baldwin,1874400
340,Larry Sanders,1865547
341,Harry Giles,1859400
342,Sam Dekker,1794600
343,Terrance Ferguson,1785000
344,Henry Ellenson,1780800
345,Eric Moreland,1739333
346,Jerian Grant,1713840
347,Jarrett Allen,1713720
348,Mike Scott,1709538
349,Tyler Zeller,1709538
350,Quincy Acy,1709538
351,Malik Beasley,1700640
352,Mike Dunleavy,1662500
353,Delon Wright,1645200
354,OG Anunoby,1645200
355,Ante Zizic,1645200
356,Caris LeVert,1632480
357,Justin Anderson,1579440
358,Tyler Lydon,1579440
359,Jeff Withey,1577320
360,Ian Clark,1577230
361,Shabazz Muhammad,1577230
362,Willie Reed,1577230
363,DeAndre Liggins,1577230
364,DeAndre' Bembry,1567200
365,Joffrey Lauvergne,1524305
366,Jerami Grant,1524305
367,Johnny O'Bryant,1524305
368,Tyler Ennis,1524305
369,Julyan Stone,1524305
370,Sean Kilpatrick,1524305
371,Joe Harris,1524305
372,Spencer Dinwiddie,1524305
373,Shane Larkin,1524305
374,Glenn Robinson,1524305
375,Bobby Brown,1524305
376,Bobby Portis,1516320
377,Malachi Richardson,1504560
378,Arron Afflalo,1500000
379,Norman Powell,1471382
380,Josh Richardson,1471382
381,Rondae Hollis-Jefferson,1471382
382,Tyus Jones,1471382
383,Jarell Martin,1471382
384,Larry Nance,1471382
385,Troy Williams,1471382
386,Chris McCullough,1471382
387,Raul Neto,1471382
388,Pat Connaughton,1471382
389,Richaun Holmes,1471382
390,T.J. McConnell,1471382
391,Josh Huestis,1471382
392,Jordan Mickey,1471382
393,Montrezl Harrell,1471382
394,Joe Young,1471382
395,Kevon Looney,1471382
396,Nikola Jokic,1471382
397,Salah Mejri,1471382
398,Caleb Swanigan,1465920
399,Furkan Korkmaz,1465920
400,Willy Hernangomez,1435750
401,Kyle Kuzma,1423560
402,Tony Bradley,1414920
403,Derrick White,1404600
404,Josh Hart,1394520
405,Timothe Luwawu-Cabarrot,1386600
406,Kevin Martin,1360305
407,Brice Johnson,1331160
408,Pascal Siakam,1312611
409,Dejounte Murray,1312611
410,Skal Labissiere,1312611
411,A.J. Hammons,1312611
412,Deyonta Davis,1312611
413,Chinanu Onuaku,1312611
414,Damian Jones,1312611
415,Wayne Selden,1312611
416,Cheick Diallo,1312611
417,Joel Bolomboy,1312611
418,Davis Bertans,1312611
419,Bryn Forbes,1312611
420,Jake Layman,1312611
421,Tyler Ulis,1312611
422,Marcus Georges-Hunt,1312611
423,Malcolm Brogdon,1312611
424,Rodney McGruder,1312611
425,Andrew Harrison,1312611
426,Ivica Zubac,1312611
427,Patrick McCaw,1312611
428,Dorian Finney-Smith,1312611
429,Yogi Ferrell,1312611
430,Treveon Graham,1312611
431,David Nwaba,1312611
432,Paul Zipser,1312611
433,Isaiah Whitehead,1312611
434,Sheldon Mac,1312611
435,Okaro White,1312611
436,Nicolas Brussino,1312611
437,Diamond Stone,1312611
438,Isaiah Taylor,1312611
439,Kay Felder,1312611
440,Fred VanVleet,1312611
441,Derrick Jones,1312611
442,Chasson Randle,1312611
443,Stephen Zimmerman,1312611
444,Semi Ojeleye,1291892
445,Frank Mason,1184385
446,Abdel Nader,1167333
447,Damyean Dotson,1100000
448,Paul Pierce,1096080
449,Isaiah Canaan,1069308
450,Wesley Iwundu,1050000
451,Livio Jean-Charles,1035200
452,Justin Hamilton,1.00E+06
453,Gerald Henderson,1.00E+06
454,Rade Zagorac,950000
455,Ivan Rabb,950000
456,Ike Anigbogu,950000
457,Gerald Green,947248
458,Jason Thompson,945126
459,Martell Webster,830000
460,Frank Jackson,815615
461,Jordan Bell,815615
462,Dakari Johnson,815615
463,Sterling Brown,815615
464,Dillon Brooks,815615
465,Jawun Evans,815615
466,Sindarius Thornwell,815615
467,Dwayne Bacon,815615
468,Tyler Dorsey,815615
469,Davon Reed,815615
470,Royce O'Neale,815615
471,Alfonzo McKinnie,815615
472,Brandon Paul,815615
473,Khem Birch,815615
474,Thomas Bryant,815615
475,Zhou Qi,815615
476,Maxi Kleber,815615
477,Daniel Theis,815615
478,Sean Kilpatrick,789725
479,Trey Burke,784160
480,Alex Poythress,778668
481,Marco Belinelli,776217
482,Joe Johnson,749905
483,Dwight Buycks,748160
484,Tyler Cavanaugh,679919
485,Carlos Delfino,650000
486,Caron Butler,517220
487,Jordan Farmar,510921
488,Ersan Ilyasova,502328
489,Leandro Barbosa,5.00E+05
490,Tibor Pleiss,5.00E+05
491,Michael Gbinije,5.00E+05
492,Aaron Gray,452059
493,Festus Ezeli,333334
494,C.J. Watson,333334
495,Gal Mekel,315760
496,Miroslav Raduljica,3.00E+05
497,Cameron Oliver,3.00E+05
498,Ramon Sessions,263124
499,Jordan Crawford,250000
500,Emeka Okafor,239204
501,Wade Baldwin,222476
502,Isaiah Canaan,2.00E+05
503,Rakeem Christmas,172552
504,DeAndre Liggins,172238
505,Sean Kilpatrick,172238
506,Rashad Vaughn,166258
507,Troy Williams,148318
508,Travis Wear,148318
509,Carrick Felix,140902
510,Brandon Rush,119602
511,Brandon Jennings,119010
512,Derrick Williams,104059
513,K.J. McDaniels,1.00E+05
514,Marshall Plumlee,1.00E+05
515,Georges Niang,1.00E+05
516,Quinn Cook,1.00E+05
517,Demetrius Jackson,92858
518,Kyle Collinsworth,92160
519,Josh Gray,92160
520,Naz Mitrou-Long,92160
521,Shaquille Harrison,92160
522,"Walt Lemon, Jr.",92160
523,Antonius Cleveland,92160
524,Jaylen Morris,92160
525,Mike James,87552
526,Jarell Eddie,83129
527,Jarell Eddie,83129
528,Briante Weber,83129
529,Demetrius Jackson,74159
530,Georgios Papagiannis,74159
531,Larry Drew,74159
532,Scotty Hopson,74159
533,Isaiah Canaan,53465
534,Tyler Cavanaugh,50000
535,Kyle Collinsworth,50000
536,Demetrius Jackson,50000
537,Daniel Ochefu,50000
538,Michael Young,50000
539,Nate Wolters,50000
540,Naz Mitrou-Long,50000
541,Eric Griffin,50000
542,Jacob Pullen,50000
543,James Michael McAdoo,50000
544,Nigel Hayes,50000
545,Jalen Moore,50000
546,Gary Payton,50000
547,Matt Williams,50000
548,Vince Hunter,50000
549,Vander Blue,50000
550,V.J. Beachem,50000
551,Briante Weber,50000
552,Jamil Wilson,50000
553,Briante Weber,50000
554,Luis Montero,50000
555,Gian Clavell,50000
556,Antonius Cleveland,50000
557,Diamond Stone,50000
558,Yakuba Ouattara,50000
559,Jeremy Evans,50000
560,Nigel Hayes,46080
561,Nigel Hayes,46080
562,Rodney Purvis,46080
563,Xavier Rathan-Mayes,46080
564,Trey McKinney-Jones,46080
565,Jameel Warney,46080
566,Marcus Thornton,46080
567,DeAndre Liggins,26773
568,Axel Toupane,25000
569,Quinn Cook,25000
570,Chris Johnson,25000
571,Beno Udrih,25000
572,Joel Bolomboy,22248
573,Jarell Eddie,17224
