,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Conference,Age_Group
239,Wesley Matthews,SF,31,DAL,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.8220000000000001,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7,17884176.0,West,30-33
240,Josh McRoberts,PF,30,DAL,2,0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6021175.0,West,30-33
241,Salah Mejri,C,31,DAL,61,1,12.0,1.4,2.2,0.642,0.0,0.0,0.0,1.4,2.2,0.657,0.642,0.6,1.1,0.5760000000000001,1.4,2.6,4.0,0.6,0.4,1.1,0.6,2.0,3.5,1471382.0,West,30-33
242,Nerlens Noel,C,23,DAL,30,6,15.7,1.8,3.5,0.524,0.0,0.0,0.0,1.8,3.5,0.529,0.524,0.7,0.9,0.75,1.6,4.0,5.6,0.7,1.0,0.7,0.9,2.0,4.4,4187599.0,West,21-24
243,Dirk Nowitzki,C,39,DAL,77,77,24.7,4.5,9.8,0.456,1.8,4.4,0.409,2.7,5.5,0.494,0.547,1.3,1.4,0.898,0.3,5.4,5.7,1.6,0.6,0.6,0.7,1.9,12.0,5000000.0,West,36+
244,Dwight Powell,C,26,DAL,79,25,21.2,3.2,5.4,0.593,0.4,1.1,0.33299999999999996,2.9,4.4,0.6559999999999999,0.626,1.7,2.3,0.7190000000000001,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,9003125.0,West,24-27
245,Jameel Warney,PF,24,DAL,3,0,9.0,2.3,4.0,0.583,0.0,0.0,0.0,2.3,4.0,0.583,0.583,1.0,1.7,0.6,1.3,1.7,3.0,0.0,0.0,0.0,0.3,0.7,5.7,46080.0,West,24-27
246,Jeff Withey,C,27,DAL,9,0,4.3,0.7,1.8,0.375,0.2,1.1,0.2,0.4,0.7,0.667,0.43799999999999994,0.1,0.2,0.5,0.1,1.0,1.1,0.0,0.0,0.3,0.2,0.3,1.7,1577320.0,West,27-30
247,Aron Baynes,C,31,BOS,81,67,18.3,2.6,5.5,0.47100000000000003,0.0,0.3,0.14300000000000002,2.6,5.2,0.48700000000000004,0.474,0.7,1.0,0.7559999999999999,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,6.0,4328000.0,East,30-33
248,Jaylen Brown,SG,21,BOS,70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,14.5,4956480.0,East,21-24
249,Gordon Hayward,SF,27,BOS,1,1,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,29727900.0,East,27-30
250,Al Horford,C,31,BOS,72,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.5529999999999999,1.3,1.7,0.7829999999999999,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,27734405.0,East,30-33
251,Kyrie Irving,PG,25,BOS,60,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,6.1,11.3,0.541,0.568,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,24.4,18868625.0,East,24-27
252,Shane Larkin,PG,25,BOS,54,2,14.4,1.6,4.1,0.384,0.6,1.6,0.36,1.0,2.5,0.39799999999999996,0.45399999999999996,0.6,0.7,0.865,0.3,1.4,1.7,1.8,0.5,0.0,0.6,1.1,4.3,1524305.0,East,24-27
253,Marcus Morris,PF,28,BOS,54,21,26.7,4.9,11.3,0.429,1.6,4.3,0.368,3.3,7.0,0.467,0.499,2.3,2.9,0.805,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,13.6,5000000.0,East,27-30
254,Abdel Nader,SF,24,BOS,48,1,10.9,1.0,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3.0,1167333.0,East,24-27
255,Semi Ojeleye,PF,23,BOS,73,0,15.8,0.9,2.6,0.34600000000000003,0.5,1.7,0.32,0.3,0.9,0.397,0.452,0.3,0.6,0.61,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,2.7,1291892.0,East,21-24
256,Terry Rozier,PG,23,BOS,80,16,25.9,4.0,10.0,0.395,1.9,5.0,0.381,2.0,5.0,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1.0,0.2,1.0,1.5,11.3,1988520.0,East,21-24
257,Marcus Smart,SG,23,BOS,54,11,29.9,3.5,9.5,0.36700000000000005,1.4,4.6,0.301,2.1,4.9,0.429,0.44,1.8,2.5,0.7290000000000001,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,10.2,4538020.0,East,21-24
258,Jayson Tatum,SF,19,BOS,80,80,30.5,5.0,10.4,0.475,1.3,3.0,0.434,3.7,7.4,0.49200000000000005,0.5379999999999999,2.7,3.2,0.826,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,13.9,5645400.0,East,18-21
259,Daniel Theis,C,25,BOS,63,3,14.9,2.0,3.7,0.541,0.3,0.9,0.31,1.7,2.8,0.617,0.579,1.0,1.3,0.753,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,5.3,815615.0,East,24-27
260,Guerschon Yabusele,PF,22,BOS,33,4,7.1,0.8,1.8,0.426,0.4,1.1,0.324,0.4,0.7,0.583,0.525,0.5,0.7,0.682,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,2.4,2247480.0,East,21-24
261,Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,0.42,1.7,4.2,0.39399999999999996,2.7,6.2,0.43799999999999994,0.5,2.5,3.1,0.7959999999999999,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,16910113.0,East,27-30
262,DeAndre' Bembry,SF,23,ATL,26,3,17.5,2.0,4.9,0.414,0.4,1.2,0.36700000000000005,1.6,3.8,0.429,0.457,0.7,1.3,0.5760000000000001,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2,1567200.0,East,21-24
263,Tyler Cavanaugh,PF,23,ATL,39,1,13.3,1.7,3.9,0.441,0.8,2.3,0.36,0.9,1.6,0.556,0.546,0.4,0.5,0.81,1.2,2.1,3.3,0.7,0.2,0.1,0.4,1.6,4.7,679919.0,East,21-24
264,Tyler Cavanaugh,PF,23,ATL,39,1,13.3,1.7,3.9,0.441,0.8,2.3,0.36,0.9,1.6,0.556,0.546,0.4,0.5,0.81,1.2,2.1,3.3,0.7,0.2,0.1,0.4,1.6,4.7,50000.0,East,21-24
265,John Collins,PF,20,ATL,74,26,24.1,4.2,7.4,0.5760000000000001,0.2,0.6,0.34,4.0,6.7,0.598,0.591,1.8,2.5,0.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5,1936920.0,East,18-21
266,Dewayne Dedmon,C,28,ATL,62,46,24.9,4.0,7.7,0.524,0.8,2.3,0.355,3.2,5.4,0.595,0.5770000000000001,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10.0,6000000.0,East,27-30
267,Malcolm Delaney,PG,28,ATL,54,3,18.8,2.0,5.3,0.382,0.9,2.3,0.371,1.2,3.0,0.391,0.46299999999999997,1.4,1.7,0.804,0.2,1.7,1.9,3.0,0.6,0.1,1.2,1.5,6.3,2500000.0,East,27-30
268,Tyler Dorsey,SG,21,ATL,56,5,17.4,2.6,6.8,0.377,1.3,3.6,0.36200000000000004,1.3,3.3,0.39299999999999996,0.47100000000000003,0.8,1.1,0.7140000000000001,0.3,2.0,2.3,1.4,0.3,0.1,0.7,1.1,7.2,815615.0,East,21-24
269,Jeremy Evans,SF,30,ATL,1,0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,50000.0,East,30-33
270,Jaylen Morris,SG,22,ATL,6,0,16.3,2.2,5.3,0.406,0.3,1.7,0.2,1.8,3.7,0.5,0.43799999999999994,0.0,0.0,0.0,0.3,2.3,2.7,1.2,0.3,0.2,1.0,0.3,4.7,92160.0,East,21-24
271,Mike Muscala,C,26,ATL,53,7,20.0,2.7,5.9,0.45799999999999996,1.2,3.2,0.371,1.5,2.7,0.5589999999999999,0.5579999999999999,1.1,1.2,0.919,1.1,3.3,4.3,1.0,0.6,0.5,0.8,1.5,7.6,5000000.0,East,24-27
272,Miles Plumlee,C,29,ATL,55,35,16.7,1.9,3.3,0.583,0.0,0.0,0.0,1.9,3.3,0.583,0.583,0.5,1.1,0.45,1.4,2.7,4.1,0.8,0.3,0.5,1.1,1.4,4.3,12500000.0,East,27-30
273,Isaiah Taylor,PG,23,ATL,67,9,17.4,2.4,5.8,0.418,0.3,1.2,0.25,2.1,4.6,0.461,0.444,1.5,2.1,0.7020000000000001,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6,1312611.0,East,21-24
274,Bradley Beal,SG,24,WAS,82,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.7909999999999999,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,23775506.0,West,24-27
275,Tim Frazier,PG,27,WAS,59,11,14.2,1.2,2.9,0.395,0.3,0.9,0.304,0.9,2.0,0.44,0.445,0.4,0.5,0.767,0.3,1.6,1.9,3.3,0.8,0.1,1.0,1.6,3.0,2000000.0,West,27-30
276,Marcin Gortat,C,33,WAS,82,82,25.3,3.5,6.8,0.518,0.0,0.0,0.0,3.5,6.8,0.518,0.518,1.3,2.0,0.675,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,8.4,12782609.0,West,33-36
277,Ian Mahinmi,C,31,WAS,77,0,14.9,1.8,3.2,0.556,0.0,0.0,0.0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3.0,4.8,16661641.0,West,30-33
278,Chris McCullough,PF,22,WAS,19,0,4.7,0.9,2.2,0.429,0.1,0.4,0.125,0.9,1.8,0.5,0.44,0.5,0.7,0.643,0.4,0.9,1.3,0.2,0.0,0.3,0.1,0.4,2.4,1471382.0,West,21-24
279,Jodie Meeks,SG,30,WAS,77,0,14.5,2.0,5.1,0.39899999999999997,0.9,2.7,0.34299999999999997,1.1,2.4,0.46399999999999997,0.491,1.3,1.5,0.863,0.2,1.4,1.6,0.9,0.4,0.1,0.5,0.7,6.3,3290000.0,West,30-33
280,Markieff Morris,PF,28,WAS,73,73,27.0,4.5,9.4,0.48,1.0,2.8,0.36700000000000005,3.5,6.6,0.529,0.536,1.4,1.8,0.82,1.0,4.6,5.6,1.9,0.8,0.5,1.7,3.0,11.5,8000000.0,West,27-30
281,Otto Porter,SF,24,WAS,77,77,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4.0,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,6.4,2.0,1.5,0.5,1.0,2.0,14.7,24773250.0,West,24-27
282,Mike Scott,PF,29,WAS,76,1,18.5,3.6,6.9,0.527,0.9,2.1,0.405,2.8,4.8,0.5820000000000001,0.59,0.7,1.0,0.6579999999999999,0.7,2.6,3.3,1.1,0.3,0.1,1.0,1.9,8.8,1709538.0,West,27-30
283,Jason Smith,C,31,WAS,33,2,8.6,1.4,3.5,0.391,0.1,1.0,0.125,1.2,2.5,0.494,0.409,0.6,0.6,0.905,0.5,1.1,1.6,0.4,0.1,0.4,0.5,1.3,3.4,5225000.0,West,30-33
284,John Wall,PG,27,WAS,41,41,34.4,6.8,16.3,0.42,1.5,4.1,0.371,5.3,12.2,0.436,0.466,4.3,5.9,0.726,0.5,3.1,3.7,9.6,1.4,1.1,3.9,2.0,19.4,18063850.0,West,27-30
285,Jordan Bell,C,23,GSW,57,13,14.2,2.0,3.2,0.627,0.0,0.1,0.0,2.0,3.2,0.6409999999999999,0.627,0.5,0.8,0.682,1.1,2.6,3.6,1.8,0.6,1.0,0.9,1.6,4.6,815615.0,West,21-24
286,Omri Casspi,SF,29,GSW,53,7,14.0,2.3,3.9,0.58,0.2,0.4,0.455,2.1,3.5,0.595,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1.0,0.3,0.4,0.7,1.3,5.7,2106470.0,West,27-30
287,Quinn Cook,PG,24,GSW,33,18,22.4,3.7,7.6,0.484,1.4,3.2,0.442,2.3,4.5,0.514,0.575,0.7,0.8,0.88,0.3,2.2,2.5,2.7,0.4,0.0,1.0,1.8,9.5,100000.0,West,24-27
288,Quinn Cook,PG,24,GSW,33,18,22.4,3.7,7.6,0.484,1.4,3.2,0.442,2.3,4.5,0.514,0.575,0.7,0.8,0.88,0.3,2.2,2.5,2.7,0.4,0.0,1.0,1.8,9.5,25000.0,West,24-27
289,Stephen Curry,PG,29,GSW,51,51,32.0,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.9209999999999999,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,34682550.0,West,27-30
290,Kevin Durant,SF,29,GSW,68,68,34.2,9.3,18.0,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,25000000.0,West,27-30
291,Draymond Green,PF,27,GSW,70,70,32.7,4.0,8.8,0.45399999999999996,1.1,3.7,0.301,2.9,5.2,0.562,0.516,1.9,2.5,0.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,16400000.0,West,27-30
292,Andre Iguodala,SF,34,GSW,64,7,25.3,2.3,5.0,0.46299999999999997,0.5,1.8,0.282,1.8,3.2,0.5670000000000001,0.514,0.9,1.4,0.632,0.8,3.1,3.8,3.3,0.8,0.6,1.0,1.5,6.0,14814815.0,West,33-36
293,Damian Jones,C,22,GSW,15,0,5.9,0.7,1.5,0.5,0.0,0.0,0.0,0.7,1.5,0.5,0.5,0.2,0.3,0.6,0.3,0.6,0.9,0.1,0.1,0.2,0.3,0.9,1.7,1312611.0,West,21-24
294,Shaun Livingston,PG,32,GSW,71,7,15.9,2.4,4.8,0.501,0.0,0.1,0.0,2.4,4.8,0.509,0.501,0.7,0.9,0.82,0.5,1.4,1.8,2.0,0.5,0.3,0.8,1.6,5.5,7692308.0,West,30-33
295,Kevon Looney,C,21,GSW,66,4,13.8,1.7,2.9,0.58,0.0,0.1,0.2,1.7,2.8,0.59,0.583,0.6,1.2,0.545,1.3,2.0,3.3,0.6,0.5,0.8,0.5,1.6,4.0,1471382.0,West,21-24
296,Patrick McCaw,SG,22,GSW,57,10,16.9,1.6,3.9,0.409,0.3,1.4,0.23800000000000002,1.3,2.5,0.503,0.451,0.5,0.6,0.765,0.3,1.2,1.4,1.4,0.8,0.2,0.7,1.2,4.0,1312611.0,West,21-24
297,JaVale McGee,C,30,GSW,65,17,9.5,2.1,3.4,0.621,0.0,0.1,0.0,2.1,3.3,0.638,0.621,0.6,0.8,0.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.8,2116955.0,West,30-33
298,Zaza Pachulia,C,33,GSW,69,57,14.1,2.2,3.8,0.564,0.0,0.0,0.0,2.2,3.8,0.5670000000000001,0.564,1.1,1.3,0.8059999999999999,1.3,3.4,4.7,1.6,0.6,0.2,1.0,1.8,5.4,3477600.0,West,33-36
299,Klay Thompson,SG,27,GSW,73,73,34.3,7.9,16.2,0.488,3.1,7.1,0.44,4.7,9.0,0.526,0.585,1.1,1.3,0.8370000000000001,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20.0,17826150.0,West,27-30
300,David West,C,37,GSW,73,0,13.7,3.0,5.2,0.5710000000000001,0.0,0.1,0.375,2.9,5.1,0.5760000000000001,0.575,0.8,1.1,0.759,0.9,2.4,3.3,1.9,0.6,1.0,1.1,1.6,6.8,2328652.0,West,36+
301,Nick Young,SG,32,GSW,80,8,17.4,2.5,6.1,0.41200000000000003,1.5,4.1,0.377,1.0,2.0,0.48100000000000004,0.5379999999999999,0.7,0.8,0.862,0.3,1.3,1.6,0.5,0.5,0.1,0.5,1.3,7.3,5192000.0,West,30-33
302,Dragan Bender,PF,20,PHO,82,37,25.2,2.3,5.9,0.386,1.4,3.9,0.366,0.8,2.0,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2.0,6.5,4468800.0,West,18-21
303,Devin Booker,SG,21,PHO,54,54,34.5,8.4,19.5,0.43200000000000005,2.7,7.1,0.38299999999999995,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9,2319360.0,West,21-24
304,Tyson Chandler,C,35,PHO,46,46,25.0,2.6,4.1,0.647,0.0,0.0,0.0,2.6,4.1,0.647,0.647,1.3,2.0,0.624,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5,13000000.0,West,33-36
305,Marquese Chriss,PF,20,PHO,72,49,21.2,2.8,6.6,0.423,0.8,2.6,0.295,2.0,4.0,0.509,0.48200000000000004,1.3,2.2,0.608,1.1,4.4,5.5,1.2,0.7,1.0,1.5,2.8,7.7,3073800.0,West,18-21
306,Troy Daniels,SG,26,PHO,79,15,20.5,2.9,7.3,0.40299999999999997,2.3,5.8,0.4,0.6,1.5,0.419,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,3408520.0,West,24-27
307,Jared Dudley,PF,32,PHO,48,0,14.3,1.0,2.5,0.39299999999999996,0.6,1.7,0.363,0.4,0.9,0.452,0.512,0.6,0.7,0.7709999999999999,0.2,1.8,2.0,1.6,0.5,0.2,0.6,1.8,3.2,10000000.0,West,30-33
308,Josh Gray,PG,24,PHO,5,0,17.2,2.2,8.2,0.268,0.6,2.6,0.231,1.6,5.6,0.28600000000000003,0.305,1.4,2.2,0.636,0.4,1.6,2.0,2.4,1.6,0.4,1.4,1.6,6.4,92160.0,West,24-27
309,Shaquille Harrison,PG,24,PHO,23,2,16.7,2.6,5.4,0.47600000000000003,0.3,1.1,0.231,2.3,4.3,0.541,0.5,1.2,1.7,0.737,0.4,2.3,2.7,2.4,1.1,0.3,1.0,1.8,6.6,92160.0,West,24-27
310,Josh Jackson,SF,20,PHO,77,35,25.4,5.1,12.1,0.41700000000000004,0.7,2.8,0.263,4.3,9.3,0.46399999999999997,0.44799999999999995,2.3,3.6,0.634,1.2,3.3,4.6,1.5,1.0,0.5,1.9,2.8,13.1,5090040.0,West,18-21
311,Alex Len,C,24,PHO,69,13,20.2,3.1,5.5,0.5660000000000001,0.0,0.0,0.33299999999999996,3.1,5.4,0.568,0.5670000000000001,2.3,3.3,0.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5,4187599.0,West,24-27
312,Davon Reed,SG,22,PHO,21,1,11.5,1.0,3.6,0.289,0.5,1.8,0.289,0.5,1.8,0.289,0.36200000000000004,0.4,0.6,0.667,0.1,1.8,1.9,0.6,0.5,0.1,0.5,0.8,3.0,815615.0,West,21-24
313,Tyler Ulis,PG,22,PHO,71,43,23.4,3.0,7.8,0.38799999999999996,0.6,2.1,0.28800000000000003,2.4,5.7,0.425,0.426,1.2,1.4,0.8320000000000001,0.3,1.5,1.8,4.4,1.0,0.1,1.8,1.7,7.8,1312611.0,West,21-24
314,T.J. Warren,SF,24,PHO,65,65,33.0,8.1,16.4,0.498,0.3,1.4,0.222,7.8,15.0,0.523,0.507,3.0,3.9,0.757,1.9,3.2,5.1,1.3,1.0,0.6,1.3,2.3,19.6,3152931.0,West,24-27
315,Alan Williams,PF,25,PHO,5,0,14.0,1.4,3.6,0.389,0.0,0.0,0.0,1.4,3.6,0.389,0.389,1.2,1.8,0.667,0.6,3.8,4.4,1.6,1.0,0.2,1.4,2.6,4.0,6000000.0,West,24-27
316,Patrick Beverley,SG,29,LAC,11,11,30.4,4.4,10.8,0.40299999999999997,2.2,5.5,0.4,2.2,5.4,0.40700000000000003,0.504,1.3,1.5,0.8240000000000001,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,5513514.0,West,27-30
317,Sam Dekker,PF,23,LAC,73,1,12.1,1.8,3.5,0.494,0.1,0.8,0.16699999999999998,1.6,2.7,0.593,0.514,0.5,0.8,0.6609999999999999,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1.0,4.2,1794600.0,West,21-24
318,Jawun Evans,PG,21,LAC,48,4,16.2,1.9,5.3,0.35200000000000004,0.3,1.1,0.278,1.5,4.1,0.37200000000000005,0.381,0.8,1.0,0.7759999999999999,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2.0,4.8,815615.0,West,21-24
319,Danilo Gallinari,SF,29,LAC,21,21,32.0,4.9,12.2,0.39799999999999996,1.7,5.3,0.324,3.1,6.9,0.455,0.469,3.9,4.1,0.9309999999999999,0.4,4.4,4.8,2.0,0.6,0.5,1.2,1.4,15.3,20559599.0,West,27-30
